score , GM volume
14.960286182016617, 0.16608864366701015
17.16031043472988, 0.23948341720730038
17.166676771963857, 0.25561147153337793
18.173467531680096, 0.30614806281452767
21.121081671011936, 0.27343721578851654
21.111077426787112, 0.24809313041896575
22.07421330261323, 0.18803734917843973
23.168768568483593, 0.21091068938337498
24.061419996362098, 0.22229430667555938
25.256472442854538, 0.24976050445643616
29.301370278299885, 0.24683502091796528
29.1149275450191, 0.27451342993997474
30.106257200024253, 0.28588188928636393
31.219911477596554, 0.35713939246953275
31.250833687018734, 0.43547565633905316
33.32034802643545, 0.4282453161947495
35.24616503971381, 0.5569817498332627
23.141939004426114, 0.3929424604377618
